2015_10_31,0.57,0.386,0.459,0.963,0.506,0.772,1,0,0,0,-0.866,0.5
2015_11_01,0.555,0.338,0.437,0.951,0.457,0.78,1,0,0,0,-0.5,0.866
2015_11_02,0.532,0.282,0.414,0.877,0.358,0.632,1,0,0,0,-0.5,0.866
2015_11_03,0.526,0.27,0.416,0.864,0.383,0.618,0,1,0,0,-0.5,0.866
2015_11_04,0.606,0.393,0.482,0.778,0.42,0.634,0,0,1,0,-0.5,0.866
2015_11_05,0.604,0.424,0.48,0.765,0.407,0.587,0,0,1,0,-0.5,0.866
2015_11_06,0.641,0.395,0.508,0.815,0.506,0.642,0,0,0,1,-0.5,0.866
2015_11_07,0.663,0.495,0.565,0.889,0.543,0.707,0,0,0,1,-0.5,0.866
2015_11_08,0.668,0.488,0.551,0.889,0.272,0.609,0,0,1,0,-0.5,0.866
2015_11_09,0.637,0.459,0.535,0.864,0.42,0.627,0,0,0,1,-0.5,0.866
2015_11_10,0.54,0.333,0.464,0.889,0.494,0.747,0,0,0,1,-0.5,0.866
2015_11_11,0.528,0.305,0.41,0.704,0,0.454,0,0,0,1,-0.5,0.866
2015_11_12,0.52,0.372,0.427,0.765,0.37,0.615,0,0,1,0,-0.5,0.866
2015_11_13,0.541,0.377,0.452,0.765,0.494,0.646,0,0,0,1,-0.5,0.866
2015_11_14,0.465,0.334,0.413,0.914,0.42,0.652,0,0,0,1,-0.5,0.866
2015_11_15,0.591,0.375,0.471,0.605,0.16,0.382,0,0,0,1,-0.5,0.866
2015_11_16,0.571,0.367,0.444,0.691,0.259,0.447,0,0,0,1,-0.5,0.866
2015_11_17,0.56,0.352,0.478,0.741,0.42,0.623,0,0,0,1,-0.5,0.866
2015_11_18,0.552,0.412,0.485,0.802,0.457,0.664,0,0,0,1,-0.5,0.866
2015_11_19,0.561,0.437,0.5,0.753,0.494,0.628,0,0,0,1,-0.5,0.866
2015_11_20,0.546,0.337,0.496,0.926,0.519,0.739,0,0,0,1,-0.5,0.866
2015_11_21,0.346,0.221,0.296,0.926,0.617,0.754,0,0,0,1,-0.5,0.866
2015_11_22,0.295,0.22,0.247,0.889,0.543,0.763,0,0,1,0,-0.5,0.866
2015_11_23,0.287,0.19,0.228,0.951,0.642,0.814,0,1,0,0,-0.5,0.866
2015_11_24,0.328,0.172,0.241,0.889,0.432,0.669,0,0,0,1,-0.5,0.866
2015_11_25,0.354,0.266,0.305,0.877,0.63,0.745,0,0,0,1,-0.5,0.866
2015_11_26,0.322,0.267,0.289,0.889,0.704,0.822,0,1,0,0,-0.5,0.866
2015_11_27,0.297,0.176,0.242,0.926,0.654,0.774,0,0,1,0,-0.5,0.866
2015_11_28,0.327,0.184,0.257,0.901,0.654,0.781,0,0,0,1,-0.5,0.866
